	wix
2015-07-29	27.01
2015-07-30	27.75
2015-07-31	28.0
2015-08-03	27.84
2015-08-04	27.4
2015-08-05	22.870001
2015-08-06	21.709999
2015-08-07	21.549999
2015-08-10	22.450001
2015-08-11	22.25
2015-08-12	21.74
2015-08-13	21.92
2015-08-14	22.16
2015-08-17	22.82
2015-08-18	22.32
2015-08-19	22.41
2015-08-20	22.07
2015-08-21	21.950001
2015-08-24	20.98
2015-08-25	20.459999
2015-08-26	20.34
2015-08-27	20.139999
2015-08-28	20.549999
2015-08-31	19.75
2015-09-01	18.9
2015-09-02	19.719999
2015-09-03	19.809999
2015-09-04	19.77
2015-09-07	19.77
2015-09-08	19.82
2015-09-09	19.68
2015-09-10	19.9
2015-09-11	19.77
2015-09-14	19.620001
2015-09-15	19.65
2015-09-16	19.5
2015-09-17	19.92
2015-09-18	20.27
2015-09-21	19.83
2015-09-22	19.059999
2015-09-23	19.209999
2015-09-24	18.870001
2015-09-25	18.139999
2015-09-28	17.51
2015-09-29	17.280001
2015-09-30	17.42
2015-10-01	17.5
2015-10-02	18.950001
2015-10-05	19.620001
2015-10-06	19.91
2015-10-07	20.0
2015-10-08	20.129999
2015-10-09	20.24
2015-10-12	20.07
2015-10-13	19.98
2015-10-14	20.030001
2015-10-15	20.879999
2015-10-16	21.299999
2015-10-19	21.26
2015-10-20	21.549999
2015-10-21	21.43
2015-10-22	21.74
2015-10-23	21.83
2015-10-26	22.18
2015-10-27	21.709999
2015-10-28	22.17
2015-10-29	22.02
2015-10-30	22.120001
2015-11-02	23.08
2015-11-03	21.67
2015-11-04	22.629999
2015-11-05	22.74
2015-11-06	23.18
2015-11-09	23.139999
2015-11-10	22.92
2015-11-11	23.059999
2015-11-12	22.950001
2015-11-13	22.73
2015-11-16	22.969999
2015-11-17	23.09
2015-11-18	23.870001
2015-11-19	24.469999
2015-11-20	24.52
2015-11-23	24.67
2015-11-24	23.75
2015-11-25	24.629999
2015-11-26	24.629999
2015-11-27	24.75
2015-11-30	24.85
2015-12-01	25.309999
2015-12-02	25.52
2015-12-03	24.450001
2015-12-04	24.75
2015-12-07	24.4
2015-12-08	24.66
2015-12-09	23.77
2015-12-10	23.82
2015-12-11	22.860001
2015-12-14	22.66
2015-12-15	22.84
2015-12-16	23.35
2015-12-17	22.91
2015-12-18	22.4
2015-12-21	22.41
2015-12-22	22.639999
2015-12-23	22.620001
2015-12-24	22.690001
2015-12-25	22.690001
2015-12-28	22.620001
2015-12-29	22.889999
2015-12-30	22.5
2015-12-31	22.75
2016-01-01	22.75
2016-01-04	22.51
2016-01-05	22.780001
2016-01-06	23.059999
2016-01-07	22.309999
2016-01-08	21.870001
2016-01-11	21.950001
2016-01-12	22.27
2016-01-13	20.76
2016-01-14	21.15
2016-01-15	21.040001
2016-01-18	21.040001
2016-01-19	20.17
2016-01-20	19.969999
2016-01-21	19.91
2016-01-22	21.02
2016-01-25	20.77
2016-01-26	20.889999
2016-01-27	20.129999
2016-01-28	20.120001
2016-01-29	20.42
2016-02-01	20.42
2016-02-02	19.9
2016-02-03	19.59
2016-02-04	19.49
2016-02-05	18.01
2016-02-08	16.98
2016-02-09	15.85
2016-02-10	17.85
2016-02-11	17.459999
2016-02-12	19.030001
2016-02-15	19.030001
2016-02-16	19.040001
2016-02-17	19.6
2016-02-18	19.450001
2016-02-19	19.75
2016-02-22	19.709999
2016-02-23	19.030001
2016-02-24	19.25
2016-02-25	19.0
2016-02-26	19.16
2016-02-29	19.23
2016-03-01	19.200001
2016-03-02	20.209999
2016-03-03	20.4
2016-03-04	20.030001
2016-03-07	20.629999
2016-03-08	19.59
2016-03-09	19.98
2016-03-10	20.18
2016-03-11	20.67
2016-03-14	20.280001
2016-03-15	19.59
2016-03-16	20.16
